회사코드,회사명,상장여부,업데이트일
33626,두산퓨얼셀,상장,20260113
24156,두산밥캣,상장,20260113
45491,두산로보틱스,상장,20260113
15,두산,상장,20260113
1482,동원시스템즈,상장,20260113
1850,동원금속,상장,20260113
17090,동아에스티,상장,20260113
64,동아쏘시오홀딩스,상장,20260113
46086,동국제강,상장,20260113
215,도화엔지니어링,상장,20260113
1251,더존비즈온,상장,20260113
19208,더블유게임즈,상장,20260113
588,대한해운,상장,20260113
349,대한항공,상장,20260113
322,대원제약,상장,20260113
354,대신증권,상장,20260113
2359,다우기술,상장,20260113
25127,넷마블,상장,20260113
235,넥센타이어,상장,20260113
2411,기업은행,상장,20260113
27,기아,상장,20260113
3061,교보증권,상장,20260113
3525,강원랜드,상장,20260113
290,TYM,상장,20260113
271,TCC스틸,상장,20260113
3653,SNT홀딩스,상장,20260113
28513,SK케미칼,상장,20260113
47515,SK이터닉스,상장,20260113
9677,SK이노베이션,상장,20260113
40234,SK스퀘어,상장,20260113
30244,SK바이오사이언스,상장,20260113
612,SK디스커버리,상장,20260113
1867,SK가스,상장,20260113
1179,SKC,상장,20260113
3473,SK,상장,20260113
509,SGC에너지,상장,20260113
3019,NICE평가정보,상장,20260113
594,NH투자증권,상장,20260113
10867,LX하우시스,상장,20260113
112,LX인터내셔널,상장,20260113
10832,LX세미콘,상장,20260113
6657,LG전자,상장,20260113
3264,LG유플러스,상장,20260113
5886,KTis,상장,20260113
139,KG케미칼,상장,20260113
10556,KB금융,상장,20260113
9676,JW홀딩스,상장,20260113
106,JW중외제약,상장,20260113
23408,JW생명과학,상장,20260113
17533,JB금융지주,상장,20260113
1120,HMM,상장,20260113
20432,HL만도,상장,20260113
9723,HJ중공업,상장,20260113
32918,HD현대중공업,상장,20260113
32200,HD현대에너지솔루션,상장,20260113
44306,HD현대마린솔루션,상장,20260113
26725,HD현대,상장,20260113
954,HD한국조선해양,상장,20260113
7893,GS,상장,20260113
11409,GKL,상장,20260113
36555,ESR켄달스퀘어리츠,상장,20260113
1794,E1,상장,20260113
37550,DL이앤씨,상장,20260113
21,DL,상장,20260113
13913,iM금융지주,상장,20260113
99,DB하이텍,상장,20260113
583,DB손해보험,상장,20260113
1661,DB증권,상장,20260113
12,CJ대한통운,상장,20260113
684,AK홀딩스,상장,20260113
626,LS,상장,20260113
144,대한전선,상장,20260113
1245,한화에어로스페이스,상장,20260113
3020,케이티,상장,20260113
49,대동,상장,20260113
1012,엘에스일렉트릭,상장,20260113
8,하이트진로,상장,20260113
6098,HL홀딩스,상장,20260113
26727,HD현대건설기계,상장,20260113
11177,영원무역,상장,20260113
1121,현대위아,상장,20260113
997,영원무역홀딩스,상장,20260113
72,현대건설,상장,20260113
3423,파라다이스,상장,20260113
469,삼천리,상장,20260113
150,현대차증권,상장,20260113
1358,계룡건설산업,상장,20260113
3121,서울보증보험,상장,20260113
26726,HD현대일렉트릭,상장,20260113
168,대상,상장,20260113
9572,웅진씽크빅,상장,20260113
38322,F&F,상장,20260113
770,F&F 홀딩스,상장,20260113
367,포스코퓨처엠,상장,20260113
9223,KPX홀딩스,상장,20260113
307,코오롱글로벌,상장,20260113
10009,SK오션플랜트,상장,20260113
153,디아이동일,상장,20260113
45226,한화갤러리아,상장,20260113
622,제주은행,상장,20260113
123,동국홀딩스,상장,20260113
46085,동국씨엠,상장,20260113
67,영풍,상장,20260113
232,한진,상장,20260113
324,태광산업,상장,20260113
24,한국앤컴퍼니,상장,20260113
3021,다올투자증권,상장,20260113
1078,아이에스동서,상장,20260113
3283,삼성생명,상장,20260113
3483,한국토지신탁,상장,20260113
7,삼양홀딩스,상장,20260113
174,SK네트웍스,상장,20260113
1586,일진홀딩스,상장,20260113
8959,제주항공,상장,20260113
496,한신공영,상장,20260113
20088,서연이화,상장,20260113
8469,대상홀딩스,상장,20260113
1781,풀무원,상장,20260113
14599,삼양사,상장,20260113
45008,에코프로머티,상장,20260113
665,대한유화,상장,20260113
18064,한진칼,상장,20260113
40,롯데손해보험,상장,20260113
1176,현대코퍼레이션,상장,20260113
1645,한세예스24홀딩스,상장,20260113
449,세방전지,상장,20260113
120,유진투자증권,상장,20260113
323,삼양식품,상장,20260113
7105,한국투자금융지주,상장,20260113
525,녹십자홀딩스,상장,20260113
1780,현대엘리베이터,상장,20260113
10,유한양행,상장,20260113
628,녹십자,상장,20260113
786,서연 ,상장,20260113
